lon,lat,wind_speed_ms,wind_direction_deg
79.8066,11.3963,6.36,162.5
79.8986,11.3963,6.36,176.4
79.9906,11.3963,6.38,166.0
80.0826,11.3963,0.50,6.3
79.8066,11.3043,6.33,177.1
79.8986,11.3043,0.50,0.0
79.9906,11.3043,0.50,6.0
80.0826,11.3043,6.38,167.2
80.1746,11.3043,5.90,135.0
80.2666,11.3043,0.50,14.0
79.8066,11.2123,6.33,176.8
79.8986,11.2123,0.50,0.0
79.9906,11.2123,6.25,150.5
80.0826,11.2123,0.50,32.7
80.1746,11.2123,6.21,147.3
80.2666,11.2123,6.15,144.5
79.8986,11.1204,0.50,0.0
79.9906,11.1204,0.50,0.0
80.0826,11.1204,6.38,172.9
80.1746,11.1204,6.36,160.6
80.2666,11.1204,6.19,147.3
79.8066,11.0284,6.37,169.5
79.8986,11.0284,0.50,2.7
79.9906,11.0284,0.50,6.7
80.0826,11.0284,0.50,0.0
80.1746,11.0284,0.50,0.0
80.2666,11.0284,6.36,163.6
79.8066,10.9364,0.50,0.0
79.8986,10.9364,0.50,21.8
79.9906,10.9364,0.50,19.4
80.0826,10.9364,6.34,158.2
80.1746,10.9364,5.69,129.5
80.2666,10.9364,0.50,2.6
79.8066,10.8444,0.68,95.7
79.8986,10.8444,6.17,146.3
79.9906,10.8444,0.50,12.8
80.0826,10.8444,6.29,152.1
80.1746,10.8444,0.50,38.3
80.2666,10.8444,0.50,10.0
79.8986,10.7524,6.34,176.6
79.9906,10.7524,0.50,19.8
80.0826,10.7524,3.31,103.7
80.1746,10.7524,5.72,130.2
80.2666,10.7524,5.22,120.5
79.8066,10.6604,0.50,38.2
79.8986,10.6604,6.38,171.5
79.9906,10.6604,6.04,140.5
80.0826,10.6604,4.09,109.0
80.1746,10.6604,6.37,174.1
79.8066,10.5684,6.19,148.6
79.8986,10.5684,6.34,176.6
79.9906,10.5684,6.37,173.7
80.0826,10.5684,6.38,168.7
80.1746,10.5684,6.37,164.1
79.8066,10.4764,0.50,37.6
79.8986,10.4764,0.50,0.0
79.9906,10.4764,6.36,177.1
80.0826,10.4764,5.68,129.6
80.1746,10.4764,6.18,146.3
79.5307,10.3845,3.17,105.5
79.6227,10.3845,0.50,96.0
79.8066,10.3845,4.65,115.6
79.8986,10.3845,6.38,172.1
79.9906,10.3845,0.50,24.4
80.0826,10.3845,6.38,167.0
80.1746,10.3845,0.50,65.7
79.5307,10.2925,1.91,100.0
79.6227,10.2925,0.50,92.9
79.7147,10.2925,2.13,100.0
79.8066,10.2925,0.50,54.8
79.8986,10.2925,0.50,35.5
79.9906,10.2925,5.91,136.1
80.0826,10.2925,0.50,38.3
80.1746,10.2925,6.32,156.1
79.5307,10.2005,0.50,10.6
79.6227,10.2005,5.85,137.0
79.7147,10.2005,5.73,133.2
79.8066,10.2005,5.63,130.2
79.8986,10.2005,6.31,155.0
79.9906,10.2005,5.22,121.8
80.0826,10.2005,6.34,177.6
79.5307,10.1085,0.50,45.0
79.6227,10.1085,6.32,173.3
79.7147,10.1085,5.18,122.7
79.8066,10.1085,0.50,10.0
79.8986,10.1085,0.50,5.2
79.9906,10.1085,0.50,19.4
80.0826,10.1085,0.50,7.8
79.5307,10.0165,0.50,47.3
79.6227,10.0165,0.50,47.5
79.7147,10.0165,0.50,28.1
79.8066,10.0165,6.37,168.7
79.8986,10.0165,0.50,28.1
79.9906,10.0165,0.50,90.0
80.0826,10.0165,0.50,0.0
79.5307,9.9245,6.29,162.5
79.6227,9.9245,0.50,19.4
79.7147,9.9245,6.02,141.7
79.8066,9.9245,5.73,132.5
79.8986,9.9245,5.67,130.2
79.9906,9.9245,0.50,21.8
80.0826,9.9245,0.50,12.4
